,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.   -1.  ],-7.299395828950756,-7.3045133283636625,-7.300824997375781,-7.298215303070821,-7.309287694317034,-7.29825137665592,-7.298577283831647,-7.256430457769131,-7.296230579522952
[0.35 0.15 2.   2.  ],-5.9811962513665735,-7.236441074684195,-6.615464138942645,-6.789972863479204,-6.350678121771278,-7.173945600948989,-6.719899294539782,-7.226179318567802,-6.148821420934145
[0.35 0.15 0.   0.  ],-6.235482545735612,-7.260372736395794,-6.707453922960925,-6.870517907730993,-6.245017672421592,-7.1881570111015,-6.777548781120952,-7.254924424177998,-6.196050061174956
[0.35 0.15 2.   0.  ],-6.184715953597925,-7.236700713566016,-6.567772516047881,-6.8468551962690505,-6.357383088545333,-7.16988057705057,-6.731913111878708,-7.210079880486563,-5.998719257452561
[0.35 0.15 4.   1.  ],-6.3164211152358885,-7.225558892424013,-6.514042247377658,-6.859705399869655,-6.225710072629853,-7.162202692336654,-6.799286207176644,-7.223720512344559,-6.254533369946334
[0.35 0.15 3.   1.  ],-6.313701782347457,-7.239064983135589,-6.610706791090802,-6.923018434374409,-6.288634191256141,-7.198867871834273,-6.825746925306491,-7.211600176753295,-6.072942413628645
[0.35 0.15 1.   1.  ],-6.19760684785565,-7.272087072799152,-6.699555228304528,-6.880522840916485,-6.2280142256358895,-7.191976859105942,-6.809459314833673,-7.284940381245437,-6.100138920955318
[0.35 0.15 0.   1.  ],-6.175023771891913,-7.222759545978139,-6.69458147817876,-6.926992098893158,-6.465338646932515,-7.18879395969732,-6.861471785601715,-7.210861455794028,-5.80859131781374
[0.35 0.15 3.   0.  ],-6.313054457141737,-7.26672473553407,-6.632194271093987,-6.892345162769882,-6.398995164920693,-7.205405571297893,-6.773632288465823,-7.2707827717859255,-6.186252930018561
[0.35 0.15 2.   1.  ],-6.202196378652575,-7.239537384595998,-6.7092928226176,-6.873601624727446,-6.05448909515602,-7.178702679101552,-6.764119095816075,-7.201455577578724,-6.366910641183049
[ 0.35  0.15  4.   -1.  ],-6.192750250557033,-7.237671497525476,-6.697209206319709,-6.945182953773462,-6.156091779793564,-7.166148081208889,-6.842980558200455,-7.233739711403153,-6.100399059381987
[ 0.35  0.15  2.   -1.  ],-6.22213797092633,-7.240609025344398,-6.7424260509420995,-6.953980203998258,-6.239305254240021,-7.153340878169969,-6.80123264336004,-7.223782486692627,-5.977148961227262
[0.35 0.15 1.   0.  ],-6.137380109383535,-7.2611843217256355,-6.650507426289358,-6.8676768055996495,-6.2663808363869,-7.174745346542231,-6.851450404217334,-7.213344203712695,-6.259729599821677
[ 0.35  0.15  3.   -1.  ],-6.068430211183718,-7.24559418267951,-6.681242909115635,-6.851175393133234,-6.512987845319295,-7.154953843188917,-6.913540878928493,-7.210853095114349,-6.235321467881544
[ 0.35  0.15  1.   -1.  ],-6.267373567590639,-7.255734699892985,-6.608074231059346,-6.863695396160391,-6.231309918442573,-7.186431917812319,-6.805305581623731,-7.241232934160729,-5.939201353679732
[0.35 0.15 0.   2.  ],-6.2804291044264104,-7.224489481429441,-6.555953251598905,-6.880484844141117,-6.055308365590801,-7.183779353540542,-6.832840883512173,-7.236676636369973,-6.09499452548538
[0.35 0.15 1.   2.  ],-6.341876384362447,-7.242079338146892,-6.798836737979637,-6.89760117116586,-6.333096967974207,-7.213895662232929,-6.80538972864459,-7.2066535201607955,-6.129556932257455
[0.35 0.15 4.   0.  ],-6.0123931704079405,-7.234071989584226,-6.461938338124252,-6.860642978765617,-6.170389325609823,-7.192987717707223,-6.8297477524958055,-7.227583648050707,-6.059097533992062
[ 0.25  0.05  0.   -1.  ],-6.72351800142656,-6.720321981148189,-6.7135932636718945,-6.7179264353443635,-6.733737715151662,-6.725960016521905,-6.718687891551456,-6.730800581776299,-6.7188190237321015
[ 0.35  0.05  0.   -1.  ],-6.9222305949067255,-6.957469879906224,-6.934752258842195,-6.922345647944077,-6.9179254127254515,-6.926178503992618,-6.926912730582103,-6.926692695356715,-6.920199468360737
[ 0.35  0.05  2.   -1.  ],-5.689835897418066,-5.676094405143576,-5.718680202337459,-5.748191323632053,-5.5823588023536335,-6.071214643087591,-6.017749305284455,-5.734525755577615,-5.942843615449566
[0.25 0.05 4.   1.  ],-5.649542208645435,-5.815115461111679,-5.731896170737649,-5.927304167865645,-5.413792871795568,-5.95228850664195,-5.737926338389348,-5.28940489284796,-5.582655652499197
[0.25 0.05 3.   1.  ],-5.491947157105305,-5.715307460163137,-5.363625767561605,-5.995736627300446,-5.53221001678563,-5.885122296224975,-5.686925207795098,-5.107403077680528,-5.347755142059462
[0.35 0.05 0.   0.  ],-5.904427222855378,-5.801001273491425,-5.765662288841816,-6.0389648480721965,-5.804726787822384,-6.0482728947337865,-5.976789004623974,-5.7379941280879265,-5.885348338685384
[ 0.25  0.05  2.   -1.  ],-5.59408919824643,-5.787072094208701,-5.79869740483524,-5.961433189862972,-5.622647688414915,-5.950703300408881,-5.788935932815557,-5.0894733073184515,-5.624213626084948
[0.35 0.05 2.   2.  ],-5.846706847714163,-5.343919544737954,-5.71860025243549,-5.73915199692004,-5.706864284808787,-6.064050678459574,-5.816913627208722,-5.860383196124202,-5.991638150042797
[0.35 0.05 3.   2.  ],-5.950845706114268,-5.71855775995142,-5.819656790529273,-6.04946891391186,-5.915457820265855,-5.977718678422053,-5.626117627837258,-5.8711536266379545,-5.974234654392819
[0.25 0.05 4.   2.  ],-5.844022950067568,-5.848346461743857,-5.250925628303118,-6.0685156926080746,-5.462048153195368,-5.9991198025934,-5.684566293034959,-5.06199347863393,-5.64368248015886
[0.35 0.05 4.   0.  ],-5.9912176142762235,-5.4910814634233045,-5.846641323381662,-6.015139400233745,-5.540346405540537,-6.017179076868156,-5.77447071718005,-5.9144165954943295,-5.309225036049673
[0.25 0.05 1.   1.  ],-5.903630624639997,-5.81814678068938,-5.69783336901603,-6.015441463687257,-5.308968656587876,-6.089158832827925,-5.763517503163079,-5.214554077627313,-5.4306329656360095
[0.25 0.05 2.   0.  ],-5.614687956228286,-5.780116312649677,-5.581620705887788,-6.047459943166282,-5.610458524499932,-5.7140767300201345,-5.889534653824703,-5.147912944617954,-5.46304602599999
[ 0.35  0.05  4.   -1.  ],-5.832090356846077,-5.363959558045991,-5.771834456686457,-5.897243516072881,-5.456092945446499,-6.070744774787657,-5.941055392327767,-5.851402856780701,-6.128013100743113
[0.35 0.15 3.   2.  ],-6.420756013104592,-7.221819168186061,-6.66205512479244,-6.802243070381326,-6.282609020331647,-7.191577367308372,-6.827596563470485,-7.221701521104735,-5.988105603578235
[0.35 0.05 3.   0.  ],-5.7137400394644775,-5.8006168317325875,-5.675258389490562,-5.871826748148401,-5.5154055426310284,-6.017474934042122,-5.978224481970227,-5.80709621862836,-5.755368279505708
[0.35 0.05 3.   1.  ],-5.265544272541825,-5.539253817982122,-5.82938446698766,-5.94002087052431,-5.68163562253334,-5.962699641184237,-5.93809224288375,-5.821070487785198,-5.8401288019860775
[0.35 0.05 1.   1.  ],-5.788457538045945,-5.253921450084624,-5.654372387385125,-5.998119312431532,-5.674861147635524,-5.891173026248775,-5.61936524217915,-5.809121430532245,-5.705195065125137
[ 0.35  0.05  3.   -1.  ],-5.791725406685341,-5.602621631732626,-5.821646429895691,-5.881469652243987,-6.01357920251155,-6.093846884056281,-5.444081911375272,-5.93161498961206,-5.7349179262176015
[0.35 0.05 4.   1.  ],-5.575467787911063,-5.347435544548272,-5.789682589439739,-5.77347283830069,-5.8877478776288665,-6.040349851170437,-5.873359023949772,-6.045079114330317,-5.699538898483138
[0.25 0.05 1.   2.  ],-5.392088979650624,-5.617702750464722,-5.5252040462753875,-5.778354524561819,-5.735051905457463,-5.908538641238259,-6.0675202355151825,-4.91056786357461,-5.932826156117547
[0.35 0.05 2.   0.  ],-5.576804897450357,-5.6111209539505404,-5.708759481894844,-6.065636919934594,-5.754818392673095,-6.255088056037048,-5.731822534384284,-5.831978355142791,-5.855173732399749
[0.35 0.05 1.   0.  ],-5.980597680890381,-4.958885803596433,-5.898417933904112,-5.850270430312654,-5.599776524993603,-6.036512594310823,-5.792991344095376,-6.174999346143049,-5.721190102949191
[0.25 0.05 2.   2.  ],-5.562956871519078,-5.869492313253336,-5.677981735944096,-6.068997430973168,-5.553274301164832,-5.9310517658114295,-5.514153935999286,-5.036372061693366,-5.605963430705881
[ 0.35  0.05  1.   -1.  ],-5.6416471194257936,-5.738635317221145,-5.706167382272232,-5.918502438611928,-5.49376753541218,-6.152135427985992,-5.792035811099451,-6.207890974941265,-5.713097361937304
[ 0.15  0.15  0.   -1.  ],-6.363930648122547,-6.374480500734933,-6.36038312227037,-6.356431831430011,-6.384408553715268,-6.3616659185235775,-6.354485217260512,-6.360543151754387,-6.366509419987457
[ 0.05  0.15  0.   -1.  ],-6.1344347262466785,-6.137759236149663,-6.12756286427959,-6.131901256530219,-6.140628973795404,-6.131361889435701,-6.123687290731785,-6.144124597416521,-6.120015190705286
[0.35 0.05 4.   2.  ],-5.232600085898992,-5.432820544551958,-5.83196583434352,-5.903021069367745,-5.587080393389836,-6.033204297515765,-5.569538225904856,-5.984181175808782,-5.7624065081214395
