,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.   -1.  ],377.88236050879203,350.44732615232226,102.27285674769766,66.22791499071656,305.5738947283122,203.3542152903727,268.04439302961094,582.1555555849523,411.9781528889012
[ 0.25  0.25  0.   -1.  ],-5.777644442629159,-4.743322402212881,-6.519804570818322,-7.330749221536245,14.207957813268955,-7.6472606103862475,-7.284065424928591,366.0881311916892,-8.125163951275878
[ 0.35  0.25  0.   -1.  ],13.080695010051235,-6.944589172060625,-8.132213488943604,-0.40527115508889255,-7.186001073738515,-7.3063792200223965,-7.904437153302676,562.9066087115968,-7.39976738474932
[ 0.25  0.35  0.   -1.  ],-7.848465384740595,-6.918559989493979,-7.297060589815789,-6.996541424761007,12.824238050343594,-7.226291696441669,-6.992710862340184,-7.379099912814639,-6.939606362824593
[ 0.25  0.15  0.   -1.  ],-7.982349009531488,135.56319114432043,-8.185064096386252,-7.648234580604116,-7.851062121003744,-8.358635253447726,-7.70010340428466,-7.6708422170110895,-7.837185403367927
[ 0.45  0.25  0.   -1.  ],308.0965212128074,269.50791837627634,349.69222101026924,270.1667336207136,337.26251942028006,257.1203846242993,225.08043263779658,583.9387781649472,290.0540308423039
[ 0.55  0.35  0.   -1.  ],384.06740898548134,586.0408911864436,305.47290099441545,424.2717664853887,241.17071355167042,394.0127433389207,402.3855008387025,312.7602055990073,38.464270325577715
[ 0.45  0.35  0.   -1.  ],17.367259488154982,576.158442617337,54.79038171079432,22.0858166027238,90.27420561508632,-6.334575477543473,33.31999249954583,5.811494331847097,-6.241042309864841
[ 0.55  0.45  0.   -1.  ],347.47067574661315,588.4192325046831,314.9510886926502,267.78744312383463,394.8481582815094,323.4223998967723,303.93856121328497,356.0333885123009,355.1754215461602
[ 0.45  0.45  0.   -1.  ],100.66367765817412,25.576958329239165,0.5898318101878163,39.83873664447791,-2.914198583903331,92.44909034511508,3.5293595348410456,587.7398084027434,4.0877885254545046
[ 0.45  0.55  0.   -1.  ],-1.2853987791970567,62.52635247282818,-0.8007319805920625,-1.0335412074658565,170.89761757376579,-4.033344773201648,-4.566730768782225,552.0490713595331,-4.582057529518141
[ 0.35  0.65  0.   -1.  ],-3.080918866929592,-3.143999573598084,-3.703565328059767,-3.1013261286820217,-3.511959458724865,-3.158105723810559,-3.154793679176056,-3.2104713046462017,-3.2997430426769676
[ 0.45  0.75  0.   -1.  ],-2.7050213136991728,-2.959212567248379,2.397915879951046,-2.816727299571694,-2.733077125410147,-2.6882175520953298,-3.0638895523934293,-3.2523417805792483,-2.908065272550391
[ 0.45  0.65  0.   -1.  ],-3.2794587684057617,-3.3233468203593786,-3.704819644183165,-3.4776851500903487,-3.2951256779899363,-3.342781831631139,-3.9438433432707436,-3.276236103660088,394.6433904165694
