,stay,N,S,W,E,NW,SW,NE,SE
[ 0.3  0.1  0.  -1. ],-4.6469563630785915,-4.651331854093824,-4.649425663896112,-4.6458780186874264,-4.646548081462475,-4.647277983911103,-4.652687671486628,-4.640735255456228,-4.652208983079957
[ 0.5  0.3  0.  -1. ],-3.6435639223356815,-3.628987268684354,-3.6417683522450517,-3.6425299857577533,-3.6373911604497717,-3.640645321837876,-3.6436591325800505,-3.638471174817654,-3.634767467346862
[ 0.5  0.5  0.  -1. ],-2.625991728007373,-2.6213378440690054,-2.6381606276346177,-2.6268957103021604,-2.6276541225597354,-2.6287144735335293,-2.635141449397517,-2.620654048871009,-2.62086630430674
[ 0.7  0.3  0.  -1. ],-3.069033219911152,-3.0816086642689045,-3.078922220398054,-3.079868003782399,-3.069405464236554,-3.0736418114670108,-3.0774555847372183,-3.0762149282027913,-3.0721321464911933
[ 0.9  0.3  0.  -1. ],-3.002013453435378,-3.002843276490309,-3.0058802386412573,-3.00886878591142,-3.0013480414927756,-3.0003651523669923,-3.0014237201053744,-3.006730754986021,-3.0019280686270546
[ 0.9  0.1  0.  -1. ],-2.9929381714280576,-2.9935791522098207,-3.00122214047265,-2.99773596311387,-2.999791180745335,-3.0031276180961166,-3.001938653486327,-2.994422781614471,-3.001754706900883
[ 0.3  0.3  0.  -1. ],-3.6689979797113477,-3.6713370984954263,-3.6807083720927816,-3.6745818452790413,-3.6728335707918687,-3.6677080893044858,-3.670731590250622,-3.659355876455171,-3.6682178105485255
[ 0.1  0.1  0.  -1. ],-4.159772261963743,-4.157945427415949,-4.154816651093086,-4.163936057034967,-4.161344674966421,-4.160771783617597,-4.155357029277841,-4.1598256673844585,-4.164078172493206
[ 0.7  0.7  1.  -1. ],-1.628757644887268,-1.6252522651016603,-1.6248588409376847,-1.6289852847309516,-1.6251061917257028,-1.62576726125925,-1.6405932491635848,-1.625080794428306,-1.6289440802367987
[ 0.9  0.7  2.  -1. ],-0.7458050610988096,-0.7399347815667794,-0.7378712561854738,-0.7416389803827376,-0.7359673114406058,-0.7415232930333953,-0.7393479372350799,-0.7369622469475096,-0.7449437723380328
[ 0.9  0.9  3.  -1. ],-0.809202161174545,-0.81643580498351,-0.8068870517082558,-0.8081275366898437,-0.8072028190424619,-0.8084651117922325,-0.8083523345949224,-0.8103315775024759,-0.8155532525000386
