,stay,N,S,W,E,NW,SW,NE,SE
[ 0.3  0.1  0.   0.  -1. ],-0.8935247232581349,-1.1381838737997636,-1.062112363589737,-1.162288600903,-1.1258628032040965,-0.9804263369101256,-1.0699665471827269,5.644945321245281,-1.0191852159196226
[ 0.3  0.1  1.   3.  -1. ],-0.13904057725189511,-0.16174014209718482,-0.09530392311285632,-0.1025311609755768,-0.09465971097200292,-0.13123230649533382,-0.11085093826733128,0.004580065488096647,-0.11427028383678338
[ 0.3  0.1  0.   2.  -1. ],-0.14224116751543525,-0.11933945270998647,-0.12447772325539448,-0.1106863196083276,-0.15072623198898968,-0.15145851297559731,-0.07871663262511963,2.063221804042698,-0.11439616067333905
[0.3 0.1 3.  9.  0. ],0.1259453248127587,0.18497777902462,0.13185162082691576,0.14593140093006857,0.16080727406989034,0.159500349593697,0.12406859674682004,4.548835964366516,0.12446761824834898
[0.3 0.1 2.  8.  0. ],0.08768835526734525,0.1387022834888488,0.10792029675242576,0.07176572189303225,0.09462694801419148,0.11548188472921331,0.08702955562779224,1.4180684096322336,0.06727103025456016
[ 0.3  0.1  4.   5.  -1. ],0.22281266735240152,0.16861363688089084,0.12348513399897258,0.20795287080806918,0.09708028950124276,0.13132180751851752,0.10039623875289631,1.0034579694213435,0.11919440849174251
[0.3 0.1 3.  4.  0. ],0.19067874487524072,0.14362873889369882,0.09686037134521307,0.11559075926561574,0.1531758543089134,0.10914406670339422,0.0884769607964082,1.364413107202782,0.09526529167244
[0.3 0.1 6.  6.  0. ],0.17058439570489126,0.1607436436966926,0.11182258437510546,0.10242960542856491,0.16326618773519297,0.1817146826964315,0.10609747977316068,1.2757474836547311,0.11616119297274355
[0.3 0.1 5.  5.  0. ],0.10975542646376815,0.15035740633636724,0.13097157726757058,0.1528070173811539,0.1651999447707971,0.11455462228266367,0.11773865319594634,1.0349629206199717,0.14042075534347775
[0.3 0.1 5.  2.  0. ],0.0784194328400564,0.1433683050533701,0.11551308414249145,0.11833575780361943,0.11796185612946686,0.10496664542495603,0.0790633413564441,2.9008469387046,0.058034074398632396
[0.3 0.1 4.  1.  0. ],-0.13102870903318103,-0.1483927319464551,-0.11699239168109819,-0.13126553658567153,-0.12942889993404713,-0.09795506873003156,-0.12026877635310748,2.011259775763201,-0.09472826981583579
[ 0.3  0.1  7.   8.  -1. ],0.14314283221008134,0.12975459026916328,0.17075949167873444,0.12572464314423007,0.12038386017989651,0.142912919916585,0.08661440863272246,1.5855722343372673,0.16791349484888385
[0.3 0.1 6.  7.  0. ],0.12103930427925204,0.18052319458850472,0.1084757967251204,0.1710035661741937,0.1425129326627781,0.13707552904300496,0.11881353253975944,1.608017044029615,0.10031682085590923
[0.3 0.1 8.  7.  0. ],0.15320082446520322,0.16083807703769662,0.13859457563961278,0.12690424374833625,0.10459994354244515,0.14554446219733355,0.16273381834559716,1.608940833841792,0.11331744502704869
[0.3 0.1 7.  6.  0. ],0.0971466587345923,0.1746344976284123,0.158945498447704,0.11121543747470378,0.14426495140052117,0.1371621648493779,0.12065031737150693,1.2075908591893638,0.1551401299573744
[0.3 0.1 4.  9.  0. ],0.13277088417075694,0.15202691889424508,0.14524394199796875,0.16306240485975923,0.14292089329786625,0.1695492479895473,0.1716035360442349,4.401036509996278,0.12290155283936081
[0.3 0.1 3.  8.  0. ],0.2015259378175451,0.159210278335733,0.15410974092056026,0.1638175290754418,0.15888112349183,0.11727663917210768,0.0720364802580988,1.56985438924744,0.17083373671143623
[0.3 0.1 5.  3.  0. ],0.10495596072281187,0.19712271721079322,0.08958627253180285,0.11058041316299555,0.10233151931614275,0.13713374477928986,0.09200838119782322,1.1594048609721772,0.0905441374285545
[0.3 0.1 4.  2.  0. ],0.10630235079028232,0.14869170898507,0.123050735579688,0.0917775513831372,0.07439485717181754,0.1073950026085644,0.09563298823640354,3.3774755474708695,0.11254247699352113
[0.3 0.1 7.  2.  0. ],0.09723661661256228,0.11491468081396548,0.10911969073223451,0.08746583356503562,0.09870477785983767,0.0923324861631716,0.10318492242231321,3.17002654856639,0.0706704251093879
[0.3 0.1 6.  1.  0. ],-0.16234322929496153,-0.17373405256721405,-0.09040964191712071,-0.1227410762401801,-0.13277758839190387,-0.12471974260048578,-0.15609947416999617,2.1273886170785046,-0.11505630106671569
[ 0.3  0.1  8.   0.  -1. ],-0.12554881617057378,-0.1428911019041342,-0.12067116373562922,-0.13740674322702967,-0.11630758526951947,-0.12797065185827353,-0.12576809932630142,2.0526964747740504,-0.1148921272749579
[ 0.3  0.1  7.   0.  -1. ],-0.12174639001679378,-0.179931385412367,-0.1115510729382522,-0.14252787116898488,-0.13587349105648297,-0.11988969619798935,-0.12259324845664384,2.0087028225870043,-0.1617805412811486
[0.3 0.1 7.  3.  0. ],0.1881340406152507,0.21214751623579758,0.11958985772324007,0.1122496152317122,0.09955324315562739,0.1625950327251909,0.08078828905152445,1.1692758078870165,0.12421775577498836
[0.3 0.1 6.  2.  0. ],0.09615789632555277,0.13482498477553764,0.08019274889131299,0.11741736871119596,0.1275070052519924,0.0623737428035772,0.10364145107343163,3.093980379483595,0.12800484035376158
[ 0.3  0.1  3.   2.  -1. ],0.09720781829200006,0.13279701026417123,0.11883028809290365,0.12238080063603049,0.1083025799318491,0.08280348212243395,0.1222918338086217,3.1513973349834243,0.09203792994344717
[0.3 0.1 2.  1.  0. ],-0.08194715244716104,-0.1553244767106495,-0.09923513851951314,-0.09200471647308102,-0.09093507424959989,-0.17907964986732933,-0.11344909381244711,2.2622696945003047,-0.09126685670580965
[0.3 0.1 8.  3.  0. ],0.15560722334965826,0.1926310080190691,0.16300225063604504,0.13775434985289364,0.13186953054527015,0.11401801831237789,0.14808510943770806,1.150380505907983,0.12460142337174905
[ 0.3  0.1  3.   1.  -1. ],-0.16897198021836418,-0.1726214896239724,-0.10563013127650223,-0.11843080766211826,-0.08946693458328199,-0.14896486383023388,-0.10639002304557214,1.877201032727435,-0.12716089315528128
[ 0.3  0.1  2.   0.  -1. ],-0.17206510221391638,-0.1625177471887119,-0.1547319236741801,-0.13523920079983534,-0.13415782881616806,-0.11283086741830048,-0.1334073933120073,2.1874396912423673,-0.14739746658923047
[ 0.3  0.1  7.   2.  -1. ],0.10774762909644908,0.15590665947279986,0.09704326031716524,0.0866858381232177,0.08821941480742601,0.1009669580253951,0.060608343085238575,3.157021489189161,0.07723531168703751
[ 0.3  0.1  3.   9.  -1. ],0.17603157174565404,0.13361751349494722,0.10283886067357653,0.12302017182286823,0.12538926042186896,0.1126546487558024,0.141753434003735,4.364733210282668,0.12350803871079889
[ 0.3  0.1  6.   9.  -1. ],0.1321532385267664,0.18768146269189984,0.11290497348149901,0.14374184049642327,0.14524100126779876,0.14346644859689353,0.08852882541294435,4.183235697662584,0.10396944145140635
[0.3 0.1 5.  8.  0. ],0.1314189993416565,0.16662638976246646,0.1352195843721227,0.1311498743738264,0.11979043953614947,0.1306277061246667,0.11887820176391177,1.5778777333854503,0.12303817031463495
[ 0.3  0.1  3.   4.  -1. ],0.09966390291697402,0.15572995418830746,0.11630555556736132,0.13435413579603966,0.13658869660729508,0.14799051943546612,0.09061189266258446,1.3636569364126987,0.1449463562381289
[0.3 0.1 2.  3.  0. ],0.06699853751496024,0.14565685431908282,0.07675060163956925,0.08765525120716412,0.10057370021553734,0.10574003551106298,0.0657789444992276,1.0120437223754997,0.06741124576848362
[ 0.3  0.1  0.   7.  -1. ],-0.12320245259905645,-0.16992216534526017,-0.12082107312441719,-0.10901647606240375,-0.08901368792914485,-0.09717848076531503,-0.11106968785538279,0.5034339236708988,-0.08963832979447238
[ 0.3  0.1  0.   6.  -1. ],-0.09546993174861171,-0.12876139993576538,-0.10382230083993257,-0.10800096060424907,-0.12147869282300587,-0.12945166851068235,-0.09366476131198041,0.17476341729576048,-0.11303900199758683
[0.3 0.1 6.  3.  0. ],0.11433835913007423,0.1555137774363167,0.09882293207453148,0.12060046991749758,0.11974319235411596,0.11824618597176964,0.1427677838145211,1.1516067189901527,0.10686127093395263
[0.3 0.1 1.  2.  0. ],-0.1252985130024795,-0.17879206774701475,-0.11639521534588027,-0.12566839268510682,-0.1287614274710682,-0.14307783348121447,-0.11372698653669108,2.0380058671114334,-0.080698798154731
[ 0.3  0.1  0.   1.  -1. ],-0.14347481688238264,-0.29462831364402575,-0.21366633759414205,-0.20660085952645144,-0.21480222124315435,-0.28337692724781044,-0.19151143294547426,4.360668844284841,-0.1805094220809271
[0.3 0.1 5.  4.  0. ],0.13716714391888485,0.17226000029782834,0.08864412174852365,0.13378489251822118,0.15877211286263004,0.14811693058070313,0.1506378895194285,1.3922819252856409,0.08200301670505458
[0.3 0.1 4.  3.  0. ],0.13560926744795218,0.16235804071078042,0.1569482366612353,0.17319293140851186,0.12797759099103098,0.11552889775122115,0.0991400718771926,1.1368683576036505,0.18685427600107796
[ 0.3  0.1  4.   2.  -1. ],0.05958289310372613,0.13262230362056862,0.0969320899804532,0.14564475332973154,0.1329289327959148,0.11975382615568102,0.08466409835597502,3.1169276184039485,0.12746749205119765
[0.3 0.1 3.  1.  0. ],-0.12986638754074195,-0.16187110932164714,-0.08878926676952806,-0.0920848619614488,-0.07070071151287653,-0.1088762179839219,-0.12103013870209407,2.0114350145144773,-0.06418744486305462
[0.3 0.1 4.  4.  0. ],0.1089732451007844,0.18071473691859385,0.15300815281059454,0.13441895369897075,0.17252258740829082,0.13803388281508355,0.1224577418010919,1.3517205334336229,0.13614706868898677
[0.3 0.1 3.  3.  0. ],0.16062643938678547,0.15964526227489417,0.13336594300941595,0.1369382975472016,0.14816698698687059,0.1459554770639676,0.11785000521243079,1.156786870362362,0.1265641825206882
[0.3 0.1 4.  6.  0. ],0.1528701770180619,0.19243301378224792,0.12131774990094103,0.10587125207479592,0.12224637167372193,0.13061598337664979,0.10101326384258343,1.330529701944763,0.0380598878367457
[0.3 0.1 3.  5.  0. ],0.16550253336810455,0.1765393614115746,0.14659562669140894,0.13149036720604396,0.16341172567990359,0.1034017184816314,0.13769487326588878,1.006271625428493,0.1412951526463104
[0.3 0.1 6.  9.  0. ],0.18420965968866096,0.15335110339530267,0.1567035425880442,0.12593221339650507,0.10736657551826506,0.1031623724180687,0.13689110585409425,4.434369855417823,0.12939640410159284
[0.3 0.1 6.  8.  0. ],0.20330026188516476,0.15120139605853583,0.15816596776760783,0.15549551247368198,0.14828448229816651,0.12658163107810763,0.11256496928501152,1.623390787113351,0.1384140928204133
[0.3 0.1 5.  7.  0. ],0.13000867107883668,0.1654784314503253,0.13154812476792924,0.14920790467500736,0.13367712913878732,0.11431709420189363,0.11252250742681641,1.5890760340595569,0.14640849192086947
[0.3 0.1 6.  4.  0. ],0.13734739842140917,0.16540403403794854,0.13845488852722387,0.1544691085398534,0.13967289210946823,0.1316225896605182,0.12716134729793974,1.343734810907964,0.10751233234612692
[ 0.3  0.1  2.   1.  -1. ],-0.0897116772853851,-0.15286224835545106,-0.10911197376840426,-0.13333887922794824,-0.11729889230334291,-0.09073287291893851,-0.0878845309943595,2.1788278186558996,-0.13033213325821694
[ 0.3  0.1  1.   0.  -1. ],-0.21886140165270546,-0.31656452067939017,-0.2616313036273886,-0.23502241557044024,-0.22668904590170572,-0.25420544260825223,-0.20733404894616883,4.378446895130413,-0.338871528079647
[ 0.3  0.1  1.   4.  -1. ],-0.08661000103969838,-0.1375171514462156,-0.12005850444128838,-0.12742172131281207,-0.10179477781320478,-0.11017877016334321,-0.08723003448441845,0.24850228355171713,-0.07207635196973415
[ 0.3  0.1  0.   3.  -1. ],-0.10086850665269795,-0.167716457983083,-0.11247046712417838,-0.10334157143319939,-0.13515802333378185,-0.11174326815005371,-0.10413997313281215,0.08070765489834995,-0.11608461168643719
[0.3 0.1 9.  4.  0. ],0.14535863392699536,0.170523042562008,0.13421647414481955,0.11912554726987232,0.13421639562753956,0.13580677504854824,0.08597716699088438,1.348972496269573,0.10016969925300673
[0.3 0.1 3.  6.  0. ],0.17775028243903587,0.1478889599325006,0.14093106384746035,0.1289348532306764,0.162851289444282,0.15104410832253615,0.11493272762472129,1.2345719698512254,0.14115092687063055
[0.3 0.1 2.  5.  0. ],0.11743713725908006,0.1185413752649189,0.10980197414560618,0.10963976100332005,0.09131329440869662,0.12292382257056117,0.08436259359967435,0.9058106843859406,0.08549919951739406
[0.3 0.1 9.  8.  0. ],0.14556846590743777,0.20779120939561052,0.1592923988607187,0.12378701422112877,0.1281643727666102,0.11570673232740322,0.09309710158216876,1.6182468150975808,0.09754783189403982
