,stay,N,S,W,E,NW,SW,NE,SE
[ 0.3  0.1  0.   0.  -1. ],-2.0578128589129596,-2.0518276131728688,-2.0260711313691844,-2.06251560672789,-2.0544447048163113,-2.048052036016014,-2.0495969696547562,-0.22684187430855715,-2.049382165647266
[ 0.3  0.1 17.   1.   2. ],-0.1404460734543625,-0.14312363700756897,-0.11373642112144319,-0.14059919859948036,-0.11277530607795586,-0.11741876544580039,-0.07944141495292104,-0.5961188798073356,-0.14554475001501677
[ 0.3  0.1 16.   0.  -1. ],-0.31016335638960063,-0.30161595088776105,-0.30147441123021196,-0.3011529816268844,-0.3033905366970757,-0.2988375294220447,-0.3018853998112129,-0.5541951571625788,-0.30269223977484677
[ 0.3  0.1 19.  19.   0. ],-0.07849523680547438,-0.10352556374877195,-0.07236041123213323,-0.11080535866887417,-0.06176186159744381,-0.053100894074701824,-0.056775183024336484,-0.29926015036167336,-0.057878427954050474
[ 0.3  0.1 18.  18.   1. ],0.1943192260207527,0.1787582277706624,0.12096885192129095,0.12857547155550225,0.12492000473731386,0.15969162387952543,0.16500730426971638,0.5074400378252272,0.17059530748337967
[ 0.3  0.1 19.   3.   0. ],-0.070265682773973,-0.08795093657948892,-0.06727250335745576,-0.09087241273380348,-0.06718473283710545,-0.06324986518585017,-0.05331224270654646,-0.3276824790486455,-0.08440963417996111
[ 0.3  0.1 18.   2.   1. ],0.12416851854422532,0.18359884222312167,0.09232499607344673,0.15042795640961276,0.06894747523046961,0.08618510465087041,0.07683307900370975,0.39169426924678347,0.09183449192065937
[ 0.3  0.1 15.  12.   1. ],0.18631680194742273,0.21089168290754473,0.10035540615412719,0.15060040369493122,0.10622651468343812,0.1393313680834557,0.10065480985663258,0.48344092823854157,0.1418900630548554
[ 0.3  0.1 14.  11.   2. ],0.11891763828561247,0.18029511734841164,0.08709291299186141,0.147868586851536,0.13279182066553016,0.14309543626916377,0.170348646078742,0.483482133371871,0.19193836039810555
[ 0.3  0.1 10.  18.  -1. ],-0.0777542323923523,-0.12447467066761213,-0.0939465738218103,-0.12288279903945448,-0.09106441086978136,-0.11571747122687537,-0.10747851901837926,-0.4327613846865746,-0.0679862781906225
