,stay,N,S,W,E,NW,SW,NE,SE
[ 0.3  0.1  0.   0.  -1. ],236.50046045789145,225.7314149115915,234.29404855396874,199.62313577924402,217.01621061686185,190.95996961283754,228.98336703781408,244.3477684765768,233.97066531975855
[ 0.5  0.3  0.   0.  -1. ],234.27038080656405,223.80140386860006,236.4626623173779,240.2766877227277,245.10411730799552,213.86275846740867,228.26417950226775,211.3511723360877,235.87418554483946
[ 0.7  0.3 10.   0.  -1. ],228.5354863823311,228.98484350833988,238.69282315312182,245.8466464051256,201.42408502044242,228.01699315033014,231.33500556482298,235.44473180091632,215.52713858663276
[ 0.9  0.3 10.   0.  -1. ],10.026922947830371,36.162383220700804,24.02021740475226,225.68766134394983,9.093825935814063,25.046655242386663,25.490661365854702,53.806038380263224,18.402973568074245
[ 0.9  0.1 10.   0.  -1. ],7.528336448912896,25.08157547422656,67.49900005522397,224.49959720654806,8.548838127257731,72.64945116369205,17.160526888757552,18.23490437876212,6.239923528161826
[ 0.7  0.1 10.   0.  -1. ],37.698422063795064,104.58990668880912,70.83307943204254,32.75365001686859,27.020564084863487,246.2485103975256,83.79042351828488,60.303224790444716,64.51834081745021
[ 0.3  0.3  0.   0.  -1. ],127.87824908992113,17.99689027698845,51.09683565279264,52.96952376081056,244.69469645852894,57.163148791240694,14.214326912347765,16.735091522695264,34.624644041406256
[ 0.1  0.1  0.   0.  -1. ],27.91351031945616,8.297957117777852,3.3382538655228693,19.395733841933154,223.46910822617158,10.433009043660237,23.906281429381593,24.560357967005146,22.834325857524966
[ 0.5  0.5  0.   0.  -1. ],21.275661838541595,24.183962686784636,39.61512421680292,16.1494562237999,41.417323911781345,2.504730128829328,15.69442027010367,17.379287543202437,236.26057429450444
[ 0.3  0.7  0.  10.  -1. ],90.05528069161949,98.33986575528142,167.41583944666402,145.10202247385854,100.37087521395459,105.11278180440188,91.30575468179075,74.89183001837863,245.841139817575
[ 0.5  0.7  0.   9.  -1. ],8.467729931322555,32.6494589094646,243.90858163009165,22.17520735075479,4.6137287417280834,50.149627431510524,68.19707284459244,1.7336712096663964,37.94426656669358
[ 0.3  0.9  0.  10.  -1. ],28.566343131161414,103.4118192618885,245.25853208076566,24.394456267466566,19.862013844298655,5.583369938796404,17.36856562840274,64.93091564311825,8.58502649810697
[ 0.7  0.9  0.   8.  -1. ],-0.3712576966180255,-0.3892436658278706,0.0,0.0,-0.39363714838549047,-0.04977464003101998,0.4824631105534688,31.053725448733317,-0.23982973867484667
[ 0.7  0.9  0.   7.  -1. ],-0.3604429200600088,-0.4856055956805277,0.0,-0.22086693072606803,-0.3377772350682871,-0.23030500091448272,66.24074291946376,3.032494876802852,-0.3725451196518452
[ 0.7  0.9  0.   6.  -1. ],0.0,-0.15871890560131052,0.0,-0.3632554244888918,-0.2575043148629184,-0.25992927171428926,90.64819670650223,0.0,-0.1710611593857643
[ 0.5  0.7  0.   5.  -1. ],-0.07024186331041654,0.0,0.0,0.0,-0.4180537820869995,183.47132575647575,0.0,-0.4606745014131758,-0.3201249257460957
[ 0.7  0.7  0.   4.  -1. ],-0.2418364463986498,-0.3659766415415629,-0.2424314412880982,0.9149546930220253,-0.24755705560646504,2.152086245090391,0.1889852427571519,-0.3702515245118864,-0.33448345583949307
[ 0.7  0.7  0.   0.  -1. ],0.680911223556352,0.3780950478999324,0.35030598012090425,2.6819251954373056,1.3043120309133884,4.346062364378458,27.630718721806844,-0.6180439668273758,8.92989923392627
[ 0.5  0.7  0.   0.  -1. ],1.1484046168487272,3.9165789397427626,135.47264184833742,11.463488226343129,1.9570519640171387,5.009210800738474,1.8451029744970144,0.4863585031975782,0.7963500546346081
[ 0.1  0.9  0.  10.  -1. ],2.9856200746965182,28.165322055726033,0.46215951978548125,2.717952075742257,6.822654972764884,14.27012257076415,25.574676231401114,27.970623243055243,174.46001485783307
[ 0.5  0.3  9.   0.  -1. ],223.48216539612463,246.58824231441542,227.956891670346,207.50440581034263,242.19003576323814,239.7083618636419,217.41216930895808,211.66960846283803,213.80878797971735
[ 0.3  0.3  8.   0.  -1. ],49.728228337180035,3.060465756814854,3.7923224933196455,6.061371984338367,227.66161875997273,4.7215511868248345,-0.08888839374322538,47.364708724588155,8.086138552154766
[ 0.5  0.5  7.   0.  -1. ],127.45919395584608,34.225792806075184,88.45615172812634,178.6778801697085,96.47623396880056,247.38438204953712,55.02484341399257,40.91032884817117,215.53428148405317
[ 0.7  0.7  6.   0.  -1. ],-0.0518586059888072,0.0,0.10822087069136062,-0.2826616957667831,-0.3646228702440029,0.15199076875103693,63.36645592161708,-0.4457564617461427,0.630516962006193
[ 0.7  0.7  5.   0.  -1. ],1.5115967020659522,-0.25992927171428926,-0.3066190805805786,0.0,-0.486850463386909,0.028041619569242768,83.68477913188634,-0.4316499975217009,0.35585199992772976
[ 0.9  0.7  4.   0.  -1. ],0.0,-0.4896686965213502,-0.2850554932380531,-0.2775953888271976,-0.22642167880461928,-0.2525806701998964,0.0,-0.3712576966180255,-0.26938901629095213
[ 0.9  0.7  3.   0.  -1. ],0.0,-0.37381966845532677,-0.1975939615760479,0.0,-0.23454722852244328,0.0,-0.2575043148629184,-0.38927410638056936,-0.468790722610088
[ 0.9  0.7  2.   0.  -1. ],-0.2872049383056726,-0.13516146171959015,0.03631154027054643,0.3946402725245064,0.0,0.0,0.0,0.0,0.0
[ 0.7  0.9  0.   0.  -1. ],-0.29849585782773513,0.1296555110690252,2.055187122310882,0.029405643930444692,0.5599271002993115,-0.17186857453775986,4.593118762051573,0.4945691809713446,-0.6675757349780664
[ 0.1  0.7  0.  10.  -1. ],27.334734185845186,11.994201824323804,0.21851220317265044,30.395428645969083,234.64912370157893,21.599422514801788,3.2294146749696684,12.796456737045744,18.70127265195522
[ 0.5  0.3  8.   0.  -1. ],70.66714352078645,246.30860235858546,65.23453815471206,30.241953280554814,87.47464851808233,138.00215905860955,63.431859031962226,146.8098147364902,89.34923735607974
[ 0.5  0.5  0.   8.  -1. ],95.77676532811408,173.8022837087223,153.83667162431226,64.74121636235692,106.7374033325133,220.58433136668188,119.75321921815207,88.37915152235107,246.32114074879723
[ 0.5  0.7  0.   7.  -1. ],-0.06734392133955719,2.2753148364430853,16.341230729134523,232.51412268896144,-0.09818977576782417,0.30605315569814556,34.77172395681679,-0.2914395600333897,12.16989777278184
[ 0.9  0.9  0.   0.  -1. ],-0.3919251612023895,-1.0400034064505712,0.8623894471313902,-0.2648165362772173,-0.5984515092795177,-0.11513474171549971,3.4848838097317114,-1.1139646911693486,-1.005604949354088
[ 0.5  0.5  0.   9.  -1. ],198.4928296805955,121.02650014764701,90.4171899559107,117.75775077559275,131.47920144078017,101.44453150823038,133.06578722540564,152.65425396093093,245.94168837150173
[ 0.5  0.7  0.   8.  -1. ],20.298157707636733,106.72370552616026,237.1437319304356,39.53732901179999,18.502102279152844,1.2574347768830232,0.3741379730861667,40.71088601076008,-0.1426633397668774
[ 0.5  0.5  0.   7.  -1. ],136.79552882412975,29.69728759096582,39.94052246588089,22.99314771287001,9.706987285834646,53.62702367584809,2.6025215164252984,62.34369763012279,244.48879690426648
[ 0.5  0.5  0.   6.  -1. ],10.305157394979812,10.655031253072154,4.167235473384268,0.7819449386092336,0.21458797400634874,2.3711618684999847,-0.253833445490758,0.4104213944907493,216.12508692522596
[ 0.5  0.5  0.   5.  -1. ],-0.09728748888299424,0.11911535423266267,0.8604950234105639,-0.43795325916249933,0.0,117.56534183372779,-0.20648160903125767,0.17945071279902236,38.128401830354676
[ 0.5  0.5  0.   4.  -1. ],-0.2592408603088037,0.857244818815305,0.0,0.0,0.0,0.0,0.0,-0.22642167880461928,29.09119641112833
[ 0.5  0.5  9.   0.  -1. ],247.19104445665644,50.341468776098225,7.484954204159492,100.96794988289227,4.679878810075956,28.745110746719014,98.88514033426526,36.981102386292996,44.94542320198575
[ 0.5  0.5  8.   0.  -1. ],221.00731847140528,220.1282551176555,219.39862141767446,230.63706193119538,241.0880762767977,247.35004473460205,203.2521426760635,197.27574890452908,203.94056348173592
[ 0.3  0.7  7.  10.   0. ],229.4720928503627,233.82179509043206,241.848618042216,234.72311256990145,235.81493635327575,230.02871592985977,247.12780186986313,229.36330144573282,210.84493255035116
[ 0.3  0.7  6.  10.   0. ],235.0988199611407,236.1727335717426,220.0228968458655,225.69382223133053,225.02249231977078,216.4719511227515,241.59427667337152,246.85406421887328,180.58012286706492
[ 0.3  0.7  5.  10.   0. ],246.57797010309304,204.50527348970422,215.30025185555644,221.10569980799596,146.04612445092903,193.12158655415965,229.38350812613245,222.98913202455364,141.91645501771708
[ 0.3  0.7  4.  10.   0. ],220.39742394635772,225.388536879587,226.85856568291163,225.56330103652186,197.00503906877,206.57048262639097,235.9025968596799,246.1303441930559,193.09381450323775
[ 0.3  0.7  3.  10.   0. ],218.7664955074199,229.97626383597412,182.00365832268406,232.12580353814295,182.16025703707652,214.87502046176968,246.13091397829388,230.63859264494846,195.08776967805906
[ 0.3  0.7  2.  10.   0. ],220.3795055854651,224.61969438421823,215.9697286278863,216.21060545669943,228.29281695829025,199.91756249694802,236.72914054496223,224.0494426673432,245.8215525787915
[0.5 0.5 1.  9.  0. ],221.72751284544933,140.7836791265114,239.00681513431658,227.2208024140267,229.04328382921855,237.61356002397955,211.43740275831226,225.17630960805698,245.4561390830502
[ 0.7  0.3 10.   8.   0. ],215.57238540622456,219.38172296345354,224.2897946939498,205.43245332186848,168.67312149806057,232.05000417990408,245.3321423489939,209.11412483347593,177.7435027581258
[ 0.5  0.3  7.   0.  -1. ],38.90242435344515,234.11751177890483,10.489926315732424,21.356195407538205,108.34167461947794,56.331617021201744,8.76804812707454,41.34748424811631,89.51710236607396
[ 0.3  0.1  6.   0.  -1. ],-0.40193334835892713,21.43211374908588,0.892888855860908,-0.6041227252678766,0.8598524694143738,-0.3960569345794125,-0.18095965218005008,0.7292205585897146,0.2758249029651254
[ 0.3  0.1  5.   0.  -1. ],1.5927817976237846,-0.20829205255824293,0.11685258808545598,-0.686903852672155,0.249270595261662,0.679976435432435,0.5694944401324664,7.847877671227508,-0.15589059361742885
[ 0.3  0.3  7.   0.  -1. ],31.03047590800938,24.283602072506678,7.990030224761114,1.7478096905466256,1.558063030549497,3.694913273026498,3.352872243699117,226.1002350500197,23.770191410385078
[ 0.5  0.5  6.   0.  -1. ],30.764152759637582,29.920870996472356,19.7410076089923,29.89175837300613,147.21817998272877,241.297478928127,65.99951735007171,40.23736586594523,166.98512618018012
[ 0.5  0.5  5.   0.  -1. ],219.66875810908795,14.025556057701502,7.475934650404062,8.31228752297392,10.044719586420316,13.15978105013269,7.393417407067226,0.39663988199224265,27.200595970116325
