,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.    0.   -1.  ],-3.0688737695695516,-0.9818208542156158,-3.3258977152589884,-3.0117113247022993,-1.1561089571260674,-2.790626592620427,-3.4490651818145346,3.143733328130808,-2.7753380189473438
[ 0.35  0.05  0.    0.   -1.  ],-3.42844553644198,-2.4882379272807644,-3.4072162064355425,-3.1841915351376713,-3.5761637498668417,-3.185703587181633,-3.4698807974725834,-3.281706070952432,-3.322429080907099
[ 0.25  0.05  0.    0.   -1.  ],-3.355933790861671,-3.1700112705983092,-3.580220358243958,-3.148430117111685,-3.1161903854665174,-3.208531678585116,-3.343225980866639,-3.3927320924896605,-3.3166848572254777
[ 0.25  0.25  0.    0.   -1.  ],-2.984372250136324,-2.902985187739983,-2.929962719137023,-3.1118875225781006,-1.1040055072992054,-2.959754535686054,-2.95541136199346,-2.892320952328538,-3.231131390224023
[ 0.25  0.15  0.    0.   -1.  ],-3.251963131318737,-3.0497886120297917,-3.096130550734271,-3.024390165237875,-3.4482276037393413,-3.0545288824895582,-3.120616078596677,-1.4592958235696236,-3.1528520772962056
[ 0.15  0.05  0.    0.   -1.  ],-3.114968947998265,-2.987154200398477,-3.1867518030246216,-3.1389145049075644,-3.0634924848669796,-3.0642673221286967,-3.3376489813151404,-3.0490349513569965,-3.0275164316483707
[ 0.35  0.25  0.    0.   -1.  ],-2.992882164885245,-2.8310060785293194,-2.9339940671383427,-2.8388921324799727,-2.828323492859408,-2.8934095018060013,-2.8760725284066306,2.6101952695929356,-2.8201167528996054
[ 0.35  0.35  0.    0.   -1.  ],-2.6774850140503763,-2.7723198924148558,-2.616704330734183,-2.7691399284885647,-2.6632722624799388,-2.8602121599601222,-2.5814739712507624,-0.7825673675952463,-2.4649598277983653
[ 0.45  0.35  0.    0.   -1.  ],-2.5350232090769556,-2.4033103662526476,-2.133368695451704,-2.4054526844703825,-1.39698757539278,-1.8170257222845918,-2.5008021957984825,-2.3652341908800762,3.4402281462396567
[ 0.45  0.25  0.    0.   -1.  ],-1.26288000128425,-1.492483238473389,-2.91773813946837,-0.8488388198916511,0.3774516790738321,-2.4667735600970278,-1.0053287509524338,3.64528827990888,-1.1739594073284467
