,stay,N,S,W,E,NW,SW,NE,SE
[ 0.3  0.1  0.   0.  -1. ],-0.9681030872876342,-1.129768350763608,-1.0466052004118747,-1.1417206781188742,-1.0290862364304614,-1.0104781936807181,-0.9607719095575497,3.8388013150675344,-1.0406357573985272
[ 0.1  0.1  0.   0.  -1. ],-0.9824703420665397,-0.9814939015543325,-0.9841175783076892,-0.9816453410718192,-0.8369402652387397,-0.985757245568282,-0.9854841394542567,-0.9838053873830314,-0.9809382067201919
[ 0.3  0.3  0.   0.  -1. ],-0.8056857317770149,-0.806593741504873,-0.7888609451257618,-0.807909453837121,0.9440723729931375,-0.8188010781487741,-0.8085894009661588,-0.8051162265187655,-0.8062511765597782
[ 0.5  0.5  0.   0.  -1. ],-0.39913330018389787,-0.40243305303948723,-0.40453522691018756,-0.40782645607947243,-0.40003198556593955,-0.39962516063786535,-0.41676889482549667,-0.399466258054858,-0.11359304182397936
[ 0.5  0.3  0.   0.  -1. ],-0.45375627593387297,-0.6441220885975826,-0.5064743663187283,-0.6397004924412678,4.583433575603363,-0.5465721729893498,-0.6618798930208205,-0.4955325705368745,-0.6203526117319038
[ 0.7  0.3 15.   0.  -1. ],-0.11720236244071408,-0.10263967294642162,-0.3078921189623166,-0.29405146264930976,-0.37340507479370283,5.346183578706064,-0.04161916975027774,-0.2264817535992178,-0.3654949144805152
[ 0.5  0.3 14.   0.  -1. ],-0.09920445036465683,1.2280018027731732,-0.10727135424506913,-0.1039139466314256,-0.09927987903153924,-0.1040146872161444,-0.10022969558798923,-0.09933168393477255,-0.10083353111531841
[ 0.5  0.3 13.   0.  -1. ],-0.058189870394877566,-0.054725286995859115,-0.056051582207268316,-0.05748580979845594,0.2051952447199211,-0.058161784981238335,-0.05739266552580443,-0.05494707154030476,-0.061067562446059036
[ 0.5  0.3 12.   0.  -1. ],-0.02951812935456343,-0.03313858187225135,-0.029602992826204814,-0.03440993576418455,-0.03310710372891183,-0.0293593257995,-0.029701551936294503,-0.029261348786202453,-0.03553505146974634
[ 0.5  0.5 11.   0.  -1. ],-0.00995,-0.005,-0.019701995,0.0,-0.010048406495,0.04381267853698435,-0.0150488059955,-0.0148505,-0.012068469787418348
[ 0.5  0.5 14.   0.  -1. ],0.00404633445747583,-0.010524667945007112,-0.0795537223648057,0.0014619228747523375,0.08379343929289247,6.07567881219589,-0.08347988535431154,-0.0909128481357341,0.03946485590712165
[ 0.3  0.3 13.   0.  -1. ],-0.019998207995495003,-0.01999226255253795,-0.019998706995995,-0.020087245174650534,-0.02037765455836521,-0.019999695016985,-0.019701995,-0.01894774091932633,-0.019999695016985
[ 0.3  0.1 12.   0.  -1. ],-0.014999850000500001,-0.014999351000000001,-0.019900300995499998,-0.019751945,-0.0198513450005,-0.014999351000000001,-0.014999351000000001,-0.01988706339127414,-0.014999850000500001
[ 0.3  0.1 11.   0.  -1. ],-0.0198513450005,-0.014999351000000001,-0.014900449999999999,-0.014999351000000001,-0.0149499005,-0.014999850000500001,-0.014999351000000001,-0.0198513450005,-0.014999351000000001
[ 0.3  0.1 10.   0.  -1. ],-0.0198013955,-0.014999850000500001,-0.014900449999999999,-0.019701995,-0.00999995,-0.00999995,-0.00999995,-0.00999995,-0.014900449999999999
[ 0.5  0.3  9.   0.  -1. ],-0.014949900500000002,-0.00995,-0.00999995,-0.00999995,-0.006890376787788489,-0.00999995,-0.00995,-0.00999995,-0.0022934177232524335
[ 0.5  0.3  8.   0.  -1. ],-0.0148505,-0.00995,-0.00995,-0.00995,-0.00539273782897523,-0.00995,-0.00999995,-0.00999995,-0.0053020199624846465
[ 0.3  0.1  7.   0.  -1. ],-0.005,-0.00995,-0.00995,-0.00999995,-0.00999995,-0.00999995,-0.00999995,-0.00995,-0.005
[ 0.5  0.5 13.   0.  -1. ],-0.02372688247098414,-0.0148505,-0.01504929902193005,-0.018559698153827277,-0.018642976416096597,4.244261983616027,-0.020047167946539945,-0.02455492505,-0.01715294847949572
[ 0.5  0.7 12.   0.  -1. ],-0.005,-0.005,-0.004800128611011586,0.2507217633267344,-0.005,-0.005,-0.005,-0.005,-0.005
[ 0.5  0.7 11.   0.  -1. ],-0.005,-0.004936890635589222,-0.004935018903278205,0.018072908145410724,-0.005,0.0,-0.005,-0.005,-0.005
[ 0.5  0.7 10.   0.  -1. ],0.0,-0.005,-0.005,0.014070209808307652,-0.005,0.0,0.0,0.0,-0.005
[ 0.5  0.5  9.   0.  -1. ],-0.005,-0.005,-0.005,-0.005,0.0,0.035670299028475294,-0.005,-0.005,-0.0075661644258787865
[ 0.5  0.7  8.   0.  -1. ],0.0,-0.005,0.0,0.0,-0.005,0.022252454633762627,0.0,0.0,-0.005
[ 0.7  0.7  7.   0.  -1. ],-0.005,-0.005,-0.005,0.0,0.0,0.0,-0.005,-0.005,0.0
[ 0.5  0.5  6.   0.  -1. ],0.0,0.0,0.0,-0.005,-0.005,0.020332334554824357,-0.005,0.0,0.0
[ 0.5  0.5  5.   0.  -1. ],-0.005,-0.005,-0.005,-0.005,-0.005,0.0,0.0,0.0,-0.00504995
[ 0.5  0.3  4.   0.  -1. ],-0.005,-0.005,-0.005,-0.005,-0.006080858438828599,-0.005,-0.00999995,-0.005,-0.005
[ 0.5  0.3  3.   0.  -1. ],0.0,-0.005,-0.005,0.0,-0.005,-0.005,-0.005,0.0,-0.008223949077986802
[ 0.3  0.1  2.   0.  -1. ],-0.00995,-0.005,-0.005,-0.010014348528556552,-0.00995,-0.005,-0.00995,-0.005,-0.005
[ 0.3  0.1  1.   0.  -1. ],-0.015173517849070962,-0.00818930970183522,-0.005,-0.026696312026006728,-0.01596915543142765,-0.011891899675956332,-0.007603624082432118,-0.007029715249928278,0.026986765763164278
