,stay,N,S,W,E,NW,SW,NE,SE
[ 0.3  0.1  0.   0.  -1. ],-2.0483044301581455,-2.0451120190499354,-2.046544789768426,-2.047860258608666,-2.0471191830656066,-2.0482613936410474,-2.0530724035461256,-2.0396671909344097,-2.0489514351212046
[ 0.3  0.3  0.   0.  -1. ],-1.6577319185303778,-1.6572380247693521,-1.6581169330193544,-1.6537756414057223,-1.6565872722035182,-1.6579476263532626,-1.6537878751450414,-1.6531394803750548,-1.6566719596518247
[ 0.5  0.5  0.   0.  -1. ],-1.1725044370180946,-1.170402607771514,-1.1743528618717916,-1.173716846579231,-1.1701817947699853,-1.1691003801911084,-1.1705620370177334,-1.1697822072735753,-1.1717122914947524
[ 0.5  0.7  0.   0.  -1. ],-0.8738228651334028,-0.8754489791072123,-0.872900947955408,-0.8725749421189202,-0.8746494270770071,-0.8713909768102307,-0.8748613429513827,-0.8750578048006096,-0.8750606081121668
[ 0.7  0.7  0.   0.  -1. ],-0.9226070524928623,-0.9213997909858801,-0.9208999451730707,-0.9231135131734001,-0.921751837155571,-0.9210023413653529,-0.9241833794406675,-0.9228235549770442,-0.9193673499265188
[ 0.9  0.7  0.   0.  -1. ],-0.7840526313526267,-0.7847243995488833,-0.7843347516547334,-0.785144249364034,-0.7842845710954082,-0.7837756501807058,-0.7810186591094664,-0.7842196287047197,-0.7841354887715629
[ 0.9  0.9  0.   0.  -1. ],-0.7891100160389717,-0.7892928850895624,-0.7858601054879807,-0.7857806603888318,-0.789095612532925,-0.7902432739778175,-0.7873964782943896,-0.7889018651481268,-0.7891221478804883
[ 0.5  0.3  0.   0.  -1. ],-1.5305422063820155,-1.5270429298030714,-1.5302524776428101,-1.5317910524761638,-1.5299632714184268,-1.5298654266270861,-1.5348398621062402,-1.529260013221215,-1.5265532029388915
[ 0.7  0.1  5.   0.  -1. ],-1.0823921974482005,-1.0799252217103696,-1.0820619114416525,-1.085636968656044,-1.0785257399683275,-1.078023209896755,-1.0828428529194223,-1.0790602745950972,-1.081199344266972
[ 0.7  0.3  5.   0.  -1. ],-1.0418755556441746,-1.0430666762000536,-1.0419163900848114,-1.0418496157310446,-1.043215104286257,-1.0377110594231214,-1.0396387535806297,-1.040795756225656,-1.041867777923891
[ 0.5  0.5  4.   0.  -1. ],-0.5264725184370206,-0.5249132681765861,-0.5297889666880867,-0.5258161266409215,-0.5243360593676607,-0.5243038895716413,-0.5250641601319709,-0.524644369281388,-0.5476334376606199
[ 0.5  0.5  3.   0.  -1. ],-0.30568673136022834,-0.3063844307684795,-0.30818372963880497,-0.3076063526931661,-0.3051736873939602,-0.3061105801240689,-0.30715158001993775,-0.30929294527522677,-0.3046664018831195
[ 0.5  0.5  2.   0.  -1. ],-0.22567724411077242,-0.22425372481166916,-0.2240287610214027,-0.22380203640891014,-0.22773798475840973,-0.22563860017457624,-0.22262734949145238,-0.22587088425912866,-0.2257247576804259
