,stay,N,S,W,E,NW,SW,NE,SE
[ 0.3  0.1  0.  -1. ],0.4671597828854146,-0.15777248910595734,0.5793299769336062,-0.8638884537171051,0.6132973581270613,1.188389898585187,0.48928625255235825,18.41351850022771,0.4211769477689795
[ 0.1  0.1  0.  -1. ],-0.6526469520226515,-0.6133593796990381,-0.620514533478752,-0.6321775311679289,0.894279363983818,-0.6243924825379532,-0.5982920052710058,-0.5896294881509071,-0.6309385304583222
[ 0.3  0.3  0.  -1. ],-0.3954631681090398,-0.5204886040931846,-0.3678788644008659,-0.37250267448847496,8.206485280624978,-0.37729656255800575,-0.4197990601508602,-0.27101390782304324,-0.44462812046774464
[ 0.5  0.3  0.  -1. ],1.3338970637259209,0.7729586257219256,1.3840181656365236,-0.19885443268414388,1.7859004507513019,1.0036949101259702,0.13391660242105313,1.6534686468232913,20.214498632358755
[ 0.7  0.1 20.   0. ],2.9781615028604724,19.93535640241995,2.4827549373285978,2.9639404822166178,1.6046669372625688,1.208471072650496,1.7600210852281197,3.292230909422122,2.2429180234508106
[ 0.5  0.3 19.   0. ],0.322152833713149,0.20067252876793673,0.15261696654696977,0.08067566418476499,0.1943621308273618,0.20861621553631982,0.12699997348833963,12.20400342967951,0.40502640746371754
[ 0.5  0.3 18.   0. ],0.09191279157267065,0.15660446291736563,0.14339597865194426,0.11841099303517127,15.230376879101083,0.18431512289111907,0.14363353784538718,0.17525617991699532,0.34801839973707077
[ 0.7  0.3 20.   0. ],4.094414956962224,3.830104714063789,3.211175196843468,2.206938056425518,4.372116809297549,19.33340257690567,3.5678583037666685,3.4352452510579248,2.0366644917704257
[ 0.9  0.3 20.   0. ],28.651771500508282,2.3564420753555124,1.2619480914768486,1.990976481076473,2.3187787826929434,2.175896971287916,1.8824517123797682,2.4565358036757083,2.0543844410051384
[ 0.5  0.3 17.   0. ],0.10409942430510219,0.07028592635641182,0.14189496113764566,0.07949910973878996,0.0848820981777858,2.8128772287724932,0.051193382920838366,0.07062383511738868,0.11238261647919429
[ 0.5  0.3 16.   0. ],0.15070069408708758,0.10948348275711278,0.08718739006978664,0.10170969901340966,0.24777950583125058,0.1080585846595415,0.11883668131734748,0.13160657628261502,15.50711876218155
[ 0.3  0.3 17.   0. ],0.04152352696044194,0.04161119910346847,0.04119689316404993,0.03274334518906846,3.432722180071899,0.021407544355271958,0.039703706248885744,0.038520392459684374,0.04209928275524016
[ 0.5  0.3 15.   0. ],0.031217485594588326,0.041897179947582235,0.011016004495852242,0.030792304623345094,0.050014604060751325,0.030916096541502888,0.030991516010563373,0.04991475485204018,2.6291842624580415
[ 0.5  0.3 14.   0. ],0.0,0.020201693665977162,0.1222574694104081,0.02070202824876735,0.0,0.02000090797102999,0.0,0.0,0.0
[ 0.5  0.3 13.   0. ],0.01019980907063059,0.010944562285651946,0.010695439820907034,0.020399453605547443,0.0,0.15412074201017667,0.010595451954862898,0.01019980907063059,0.0
[ 0.5  0.3 12.   0. ],0.010100898001000001,0.9105326356711628,0.04022781321829412,0.05171384596465062,0.01393987163082344,0.01074351340205937,0.010405614782652924,0.010426395269707801,0.061364855527743685
[ 0.3  0.3 11.   0. ],0.02059433735022101,0.010992510152807557,0.05120470634459103,0.0,0.020697450073670427,0.0,0.010206786795209014,0.010100898001000001,0.2025138364437904
[ 0.3  0.3 10.   0. ],0.010100907971029992,0.010510221669026067,0.0,0.02010278317051289,0.01010189599201999,0.010305625696024941,0.22571093896436173,0.02063270616342311,0.010612973160754751
[0.3 0.3 9.  0. ],0.03147930374335991,0.1974033046598068,0.021303007239375716,0.021108360786448913,0.020299167585182964,0.010497533254972866,0.01010090807063059,0.010100898001000001,0.010696323394095833
[0.3 0.3 8.  0. ],0.02210539512601304,0.0,0.0,0.02231080230927049,0.010509610153830241,0.3029787919170466,0.01,0.01100631805789454,0.0
[0.3 0.3 7.  0. ],0.07289841644366066,0.0,1.3424620640304363,0.031308781348488926,0.01,0.0100999,0.0409945749737765,0.02030373190284771,0.05040010209157411
[0.3 0.3 6.  0. ],0.1828050698257044,0.010201678241681254,0.010942061540219069,0.010615041924364311,0.0103048751628436,0.010408121133988103,0.0,0.030761322006701022,0.010512101430659561
[0.5 0.5 5.  0. ],0.0,0.0,0.17733110608900254,0.0,0.0,0.01,0.01010287413280009,0.0,0.029770482408453577
[0.3 0.7 4.  0. ],0.0,0.01,0.020000898001000002,0.04244011401223654,0.0,0.38910038276646286,0.0,0.02050913319773652,0.020202642204750102
[0.3 0.7 3.  0. ],0.0,0.0100999,0.0,0.0100999,0.01,0.0,0.0,0.0,0.23300775386646283
[0.5 0.7 2.  0. ],0.01,0.01,0.010251330145539823,0.030293213895808385,0.01,2.3828279389061704,0.0,0.0,0.024888665650413005
[ 0.5  0.5  0.  -1. ],0.5287125764155707,0.29357608998721096,0.4615968406389632,0.45848727563735747,0.2697999718742097,0.22185423638867127,-0.06728119025720851,0.07282592638863424,19.439525430937646
[ 0.3  0.7  0.  -1. ],-0.0836646443053176,-0.06960519341023949,-0.07125381703473521,-0.06027775095118629,-0.07796102354111958,-0.05960678972139986,-0.07270900871143579,-0.05984788798044951,2.812630859266414
[ 0.3  0.9  0.  -1. ],-0.18893974214075535,-0.17959818244308262,-0.17716168335453672,-0.1855203665891913,-0.1799706935192698,-0.17958039056925423,-0.19432557467129502,-0.17871658362927828,0.8000198269428661
[ 0.1  0.7  0.  -1. ],-0.1495532552225539,-0.1493027279027826,-0.149671169100386,-0.14764438212691644,-0.130349092687609,-0.14843625071465374,-0.14989982102400912,-0.15198524635472063,-0.1585353006526741
[ 0.1  0.9  0.  -1. ],-0.1499763227658877,-0.14891054215112928,-0.14888153952508745,-0.1492708498281422,-0.15231229807997893,-0.14988961344120713,-0.14949261527964575,-0.15928273243663546,-0.11835890039351496
[ 0.5  0.7  0.  -1. ],-0.05818542250538947,-0.04762873366157134,13.291438972365395,-0.0975093050363394,0.043950242450665436,-0.09146185916291848,-0.05694455701187917,-0.11841695425883182,-0.0012005685614173423
[ 0.9  0.1 20.   0. ],0.3278940776018417,0.485658408164679,0.41736845940126854,0.4861900765873588,0.34464517049545834,5.000605438048529,0.2911678715611523,0.28085014434971356,0.2899771901780895
[ 0.5  0.5 18.   0. ],1.383825425045312,0.5981615099831752,0.7846830389432019,0.9463886379455415,1.442049390887475,18.50239353231693,0.690913058200288,0.5560006953025171,2.333895343967392
[ 0.5  0.7 17.   0. ],0.07258911343920268,0.07501075796727673,6.52583652023264,0.012161852336304464,0.07069475721761212,0.02172542502251862,0.08931524997332858,0.08175416255596343,0.040691913243594995
[ 0.7  0.7 16.   0. ],0.01020278299504508,0.020513876353166184,1.5372330336722482,0.010298708982019992,0.021129236231579245,0.0159463125281826,0.016318912175361192,0.030002723467333247,0.056168640932971144
[ 0.9  0.9 15.   0. ],0.0,0.010789604806597564,0.0,0.01204522560759609,0.0203968423487918,0.0,0.7390094798320945,0.010199809268833801,0.0100999
[ 0.7  0.7 14.   0. ],1.0008467366570808,0.23426180185625292,18.256373645139103,0.35693658984704213,0.2559326382159002,0.9239032432851617,0.2316693822968198,0.10265114148854672,0.8942697416084395
[ 0.5  0.5 13.   0. ],0.059546970180258924,0.025654547423921877,1.1618268952058142,0.032230534212345646,0.0,0.01,0.0,0.01020178501300999,0.015825289154568187
